epoch,step,train_loss,val_loss
0,49,0.044649895280599594,
0,99,0.045317839831113815,
0,149,0.039257798343896866,
0,199,0.04824351519346237,
0,201,,0.060222771018743515
1,249,0.0468071773648262,
1,299,0.05217048525810242,
1,349,0.0391148142516613,
1,399,0.08053992688655853,
1,403,,0.058981332927942276
2,449,0.10598507523536682,
2,499,0.07494203001260757,
2,549,0.048266660422086716,
2,599,0.044907525181770325,
2,605,,0.0577499195933342
3,649,0.051853302866220474,
3,699,0.0420469306409359,
3,749,0.09602947533130646,
3,799,0.07643499225378036,
3,807,,0.05740034207701683
4,849,0.07711486518383026,
4,899,0.03702486678957939,
4,949,0.059250570833683014,
4,999,0.05428329482674599,
4,1009,,0.056911543011665344
5,1049,0.038579247891902924,
5,1099,0.06983957439661026,
5,1149,0.04892304912209511,
5,1199,0.05564598739147186,
5,1211,,0.05581479147076607
6,1249,0.08674339205026627,
6,1299,0.04796862602233887,
6,1349,0.10124579071998596,
6,1399,0.052013251930475235,
6,1413,,0.055647943168878555
7,1449,0.08234063535928726,
7,1499,0.04421636462211609,
7,1549,0.0644313171505928,
7,1599,0.05264301970601082,
7,1615,,0.05620957538485527
8,1649,0.037001628428697586,
8,1699,0.06229114159941673,
8,1749,0.030117809772491455,
8,1799,0.1058572307229042,
8,1817,,0.05533488839864731
9,1849,0.08432216197252274,
9,1899,0.06309100985527039,
9,1949,0.07028017193078995,
9,1999,0.04593264311552048,
9,2019,,0.05487268418073654
10,2049,0.09391126781702042,
10,2099,0.048973359167575836,
10,2149,0.04415276646614075,
10,2199,0.07553856074810028,
10,2221,,0.054848894476890564
11,2249,0.06460017710924149,
11,2299,0.03987172991037369,
11,2349,0.10810355097055435,
11,2399,0.06874208897352219,
11,2423,,0.05434536933898926
12,2449,0.04138650745153427,
12,2499,0.03812303766608238,
12,2549,0.08927320688962936,
12,2599,0.03364180028438568,
12,2625,,0.05506855249404907
13,2649,0.07129387557506561,
13,2699,0.03240663558244705,
13,2749,0.06252220273017883,
13,2799,0.06950244307518005,
13,2827,,0.054771676659584045
14,2849,0.0576600581407547,
14,2899,0.07165271043777466,
14,2949,0.040697887539863586,
14,2999,0.07666803896427155,
14,3029,,0.05378123000264168
15,3049,0.10351336747407913,
15,3099,0.0457427017390728,
15,3149,0.05736662819981575,
15,3199,0.06075219064950943,
15,3231,,0.05348397418856621
16,3249,0.037224359810352325,
16,3299,0.03933309018611908,
16,3349,0.04548469930887222,
16,3399,0.05665222927927971,
16,3433,,0.05352189019322395
17,3449,0.031796738505363464,
17,3499,0.06711973994970322,
17,3549,0.07275019586086273,
17,3599,0.06778863817453384,
17,3635,,0.053300123661756516
18,3649,0.06250087916851044,
18,3699,0.06612922996282578,
18,3749,0.07074660807847977,
18,3799,0.10320457816123962,
18,3837,,0.05318167433142662
19,3849,0.05125853419303894,
19,3899,0.04148557782173157,
19,3949,0.07644626498222351,
19,3999,0.041272103786468506,
19,4039,,0.053363244980573654
20,4049,0.04732486233115196,
20,4099,0.0315253771841526,
20,4149,0.06593511253595352,
20,4199,0.04273747652769089,
20,4241,,0.05314693599939346
21,4249,0.049905579537153244,
21,4299,0.04387334734201431,
21,4349,0.03433828800916672,
21,4399,0.06470762938261032,
21,4443,,0.05353836342692375
22,4449,0.0568610318005085,
22,4499,0.040561459958553314,
22,4549,0.06457649171352386,
22,4599,0.041248880326747894,
22,4645,,0.05412096530199051
23,4649,0.11094602942466736,
23,4699,0.07535754889249802,
23,4749,0.09975918382406235,
23,4799,0.051032595336437225,
23,4847,,0.052736546844244
24,4849,0.0467950776219368,
24,4899,0.09026966989040375,
24,4949,0.02814442105591297,
24,4999,0.06690863519906998,
24,5049,0.04685128107666969,
24,5049,,0.05285240337252617
25,5099,0.03305676952004433,
25,5149,0.04212980344891548,
25,5199,0.05422169342637062,
25,5249,0.03813115134835243,
25,5251,,0.05344258248806
26,5299,0.07496645301580429,
26,5349,0.04181869328022003,
26,5399,0.04375988617539406,
26,5449,0.04745441675186157,
26,5453,,0.05294003710150719
27,5499,0.06259974092245102,
27,5549,0.061481084674596786,
27,5599,0.06882993876934052,
27,5649,0.04439850524067879,
27,5655,,0.05263876914978027
28,5699,0.056296300143003464,
28,5749,0.07159694284200668,
28,5799,0.04538626968860626,
28,5849,0.07765982300043106,
28,5857,,0.0524822436273098
29,5899,0.06394746154546738,
29,5949,0.07480298727750778,
29,5999,0.05525825545191765,
29,6049,0.03192128613591194,
29,6059,,0.052645858377218246
30,6099,0.05439962074160576,
30,6149,0.036808110773563385,
30,6199,0.03983934223651886,
30,6249,0.07560256123542786,
30,6261,,0.052826061844825745
31,6299,0.06413836777210236,
31,6349,0.032705433666706085,
31,6399,0.04371514916419983,
31,6449,0.041759125888347626,
31,6463,,0.0527767539024353
32,6499,0.06990841776132584,
32,6549,0.06684350967407227,
32,6599,0.02965114451944828,
32,6649,0.03845649212598801,
32,6665,,0.05253157764673233
33,6699,0.04246627166867256,
33,6749,0.07707558572292328,
33,6799,0.0448155514895916,
33,6849,0.050340376794338226,
33,6867,,0.052303511649370193
34,6899,0.03739917650818825,
34,6949,0.045003633946180344,
34,6999,0.03334220498800278,
34,7049,0.042450565844774246,
34,7069,,0.052522994577884674
35,7099,0.0428459569811821,
35,7149,0.03228117525577545,
35,7199,0.07879973202943802,
35,7249,0.0609331838786602,
35,7271,,0.05336030572652817
36,7299,0.03250361233949661,
36,7349,0.07865495979785919,
36,7399,0.033160630613565445,
36,7449,0.03654443472623825,
36,7473,,0.05284682661294937
37,7499,0.05905499681830406,
37,7549,0.06960215419530869,
37,7599,0.061676766723394394,
37,7649,0.05416140332818031,
37,7675,,0.0526118129491806
38,7699,0.04246951639652252,
38,7749,0.055588334798812866,
38,7799,0.06849084794521332,
38,7849,0.0318664126098156,
38,7877,,0.05265747383236885
39,7899,0.07180432230234146,
39,7949,0.05803956091403961,
39,7999,0.04482534900307655,
39,8049,0.034804560244083405,
39,8079,,0.0522310696542263
40,8099,0.04449781775474548,
40,8149,0.05355033278465271,
40,8199,0.062433913350105286,
40,8249,0.04199311509728432,
40,8281,,0.052206963300704956
41,8299,0.06438271701335907,
41,8349,0.03748724237084389,
41,8399,0.07133352756500244,
41,8449,0.05824447050690651,
41,8483,,0.05260680243372917
42,8499,0.04988931491971016,
42,8549,0.04630976542830467,
42,8599,0.03763074427843094,
42,8649,0.0900474339723587,
42,8685,,0.05197497829794884
43,8699,0.04067736864089966,
43,8749,0.12100222706794739,
43,8799,0.043010350316762924,
43,8849,0.05523667857050896,
43,8887,,0.05181358382105827
44,8899,0.04871854558587074,
44,8949,0.06184910982847214,
44,8999,0.07155384868383408,
44,9049,0.06838422268629074,
44,9089,,0.05202701315283775
45,9099,0.0996178612112999,
45,9149,0.040776219218969345,
45,9199,0.0434759184718132,
45,9249,0.0693150982260704,
45,9291,,0.05231866613030434
46,9299,0.044993478804826736,
46,9349,0.06963875889778137,
46,9399,0.057492561638355255,
46,9449,0.03648034483194351,
46,9493,,0.05216323956847191
47,9499,0.028332337737083435,
47,9549,0.04814760014414787,
47,9599,0.07515257596969604,
47,9649,0.038916975259780884,
47,9695,,0.05255598574876785
48,9699,0.029822394251823425,
48,9749,0.033730972558259964,
48,9799,0.0454334057867527,
48,9849,0.03803400322794914,
48,9897,,0.05196481943130493
49,9899,0.03939741849899292,
49,9949,0.0723523199558258,
49,9999,0.061894629150629044,
49,10049,0.038718584924936295,
49,10099,0.05168386548757553,
49,10099,,0.05161873996257782
50,10149,0.060669418424367905,
50,10199,0.029066169634461403,
50,10249,0.04319363087415695,
50,10299,0.07386139035224915,
50,10301,,0.0519680418074131
51,10349,0.05100381746888161,
51,10399,0.04840140417218208,
51,10449,0.026381563395261765,
51,10499,0.0681135281920433,
51,10503,,0.051952898502349854
52,10549,0.0461064837872982,
52,10599,0.058646269142627716,
52,10649,0.05096181482076645,
52,10699,0.04443525895476341,
52,10705,,0.05188364535570145
53,10749,0.03694147616624832,
53,10799,0.059671323746442795,
53,10849,0.033778972923755646,
53,10899,0.06837257742881775,
53,10907,,0.05155555531382561
54,10949,0.06023358553647995,
54,10999,0.0365142859518528,
54,11049,0.05247706547379494,
54,11099,0.033471934497356415,
54,11109,,0.05202740430831909
55,11149,0.03469160944223404,
55,11199,0.09044826030731201,
55,11249,0.050414714962244034,
55,11299,0.04403114691376686,
55,11311,,0.05155171453952789
56,11349,0.03559768944978714,
56,11399,0.03480243310332298,
56,11449,0.03988868370652199,
56,11499,0.06799579411745071,
56,11513,,0.052122000604867935
57,11549,0.04273463040590286,
57,11599,0.06061187759041786,
57,11649,0.04455036297440529,
57,11699,0.06775560975074768,
57,11715,,0.05178027227520943
58,11749,0.05701955407857895,
58,11799,0.04609716683626175,
58,11849,0.04690653458237648,
58,11899,0.06450648605823517,
58,11917,,0.051644958555698395
59,11949,0.03567267209291458,
