epoch,step,train_loss,val_loss
0,49,0.0037580346688628197,
0,99,0.0018739876104518771,
0,149,0.0058060684241354465,
0,191,,0.004038624465465546
1,199,0.004694806411862373,
1,249,0.0061195604503154755,
1,299,0.005524212494492531,
1,349,0.0038667127955704927,
1,383,,0.0035256214905530214
2,399,0.004732923116534948,
2,449,0.002605078276246786,
2,499,0.0029663376044481993,
2,549,0.004459477495402098,
2,575,,0.0034998715855181217
3,599,0.001416604733094573,
3,649,0.002894367789849639,
3,699,0.003941298462450504,
3,749,0.0036160487215965986,
3,767,,0.0035110078752040863
4,799,0.0038024233654141426,
4,849,0.0036099436692893505,
4,899,0.0035211110953241587,
4,949,0.003994394559413195,
4,959,,0.0035088073927909136
5,999,0.004586440976709127,
5,1049,0.0029547300655394793,
5,1099,0.0025966756511479616,
5,1149,0.005114889703691006,
5,1151,,0.0034570281859487295
6,1199,0.004052743781358004,
6,1249,0.003392278915271163,
6,1299,0.0036006418522447348,
6,1343,,0.0034521790221333504
7,1349,0.0010324594331905246,
7,1399,0.0010005144868046045,
7,1449,0.005721369758248329,
7,1499,0.0032247581984847784,
7,1535,,0.0034437000285834074
8,1549,0.0026483112014830112,
8,1599,0.003835337469354272,
8,1649,0.0036468643229454756,
8,1699,0.002381120342761278,
8,1727,,0.003495203796774149
9,1749,0.002130785258486867,
9,1799,0.0018845151644200087,
9,1849,0.0032001424115151167,
9,1899,0.002632672432810068,
9,1919,,0.0035108914598822594
10,1949,0.0033415514044463634,
10,1999,0.0039032879285514355,
10,2049,0.003944274969398975,
10,2099,0.003981525544077158,
10,2111,,0.0034828714560717344
11,2149,0.002963641658425331,
11,2199,0.005388930439949036,
11,2249,0.005066559184342623,
11,2299,0.001701950328424573,
11,2303,,0.0035076250787824392
12,2349,0.0025447490625083447,
12,2399,0.0031784186139702797,
12,2449,0.002503759693354368,
12,2495,,0.003433082951232791
13,2499,0.003361848648637533,
13,2549,0.004551811143755913,
13,2599,0.0023479864466935396,
13,2649,0.0034298051614314318,
13,2687,,0.0035037794150412083
14,2699,0.0028430817183107138,
14,2749,0.004496775101870298,
14,2799,0.004150384571403265,
14,2849,0.0012752930633723736,
14,2879,,0.0034546745009720325
15,2899,0.0016615920467302203,
15,2949,0.0038323048502206802,
15,2999,0.005597050301730633,
15,3049,0.004621441010385752,
15,3071,,0.0034441917669028044
16,3099,0.005883978679776192,
16,3149,0.0019398119766265154,
16,3199,0.0050081051886081696,
16,3249,0.0034508402459323406,
16,3263,,0.003409351920709014
17,3299,0.0017266258364543319,
17,3349,0.004682561848312616,
17,3399,0.0048698121681809425,
17,3449,0.0026096676010638475,
17,3455,,0.003426167881116271
18,3499,0.002847668481990695,
18,3549,0.004328503739088774,
18,3599,0.003036229172721505,
18,3647,,0.003406774951145053
19,3649,0.0033286253456026316,
19,3699,0.003768170950934291,
19,3749,0.0034577560145407915,
19,3799,0.0036327282432466745,
19,3839,,0.0034179140347987413
20,3849,0.003359452588483691,
20,3899,0.0027269201818853617,
20,3949,0.004718606360256672,
20,3999,0.002702226396650076,
20,4031,,0.0034561618231236935
21,4049,0.0027289085555821657,
21,4099,0.0052049127407372,
21,4149,0.0023821918293833733,
21,4199,0.0013889312976971269,
21,4223,,0.0034689800813794136
22,4249,0.0025822718162089586,
22,4299,0.0048261950723826885,
22,4349,0.0023596417158842087,
22,4399,0.003315841779112816,
22,4415,,0.0035158214159309864
23,4449,0.002577042207121849,
23,4499,0.003251641523092985,
23,4549,0.003527511842548847,
23,4599,0.00246457289904356,
23,4607,,0.003427319461479783
24,4649,0.004703433718532324,
24,4699,0.0018243169179186225,
24,4749,0.004606728907674551,
24,4799,0.004234485328197479,
24,4799,,0.003455129684880376
25,4849,0.004180108662694693,
25,4899,0.0034256342332810163,
25,4949,0.004558239597827196,
25,4991,,0.0035360779147595167
26,4999,0.004509319085627794,
26,5049,0.004522510804235935,
26,5099,0.004679334815591574,
26,5149,0.0037577024195343256,
26,5183,,0.0034867802169173956
27,5199,0.0042502121068537235,
27,5249,0.002630924805998802,
27,5299,0.0030251997523009777,
27,5349,0.004300868138670921,
27,5375,,0.0035038762725889683
28,5399,0.0013554560719057918,
28,5449,0.0028975028544664383,
28,5499,0.003349489765241742,
28,5549,0.0037302603013813496,
28,5567,,0.0035256443079560995
29,5599,0.003790235845372081,
29,5649,0.0034487652592360973,
29,5699,0.0034038845915347338,
29,5749,0.003644675947725773,
29,5759,,0.0034917942248284817
30,5799,0.004324398003518581,
30,5849,0.0029629054479300976,
30,5899,0.0025581372901797295,
30,5949,0.004784336779266596,
30,5951,,0.003476453246548772
31,5999,0.004483583848923445,
31,6049,0.0035501127131283283,
31,6099,0.0035111240576952696,
31,6143,,0.003471942851319909
32,6149,0.0010222755372524261,
32,6199,0.0010630033211782575,
32,6249,0.005464043468236923,
32,6299,0.00305602396838367,
32,6335,,0.00347050535492599
33,6349,0.0026501258835196495,
33,6399,0.003967109601944685,
33,6449,0.0036453448701649904,
33,6499,0.0022557652555406094,
33,6527,,0.003444140311330557
34,6549,0.002249249257147312,
34,6599,0.0018770578317344189,
34,6649,0.003248372580856085,
34,6699,0.0025019554886966944,
34,6719,,0.003508293768391013
35,6749,0.003383414354175329,
35,6799,0.003989025950431824,
35,6849,0.003966804593801498,
35,6899,0.00416761077940464,
35,6911,,0.0034280905965715647
36,6949,0.0030879690311849117,
36,6999,0.004840923007577658,
36,7049,0.004986831918358803,
36,7099,0.00179497548379004,
36,7103,,0.0034436832647770643
37,7149,0.002763858763501048,
37,7199,0.0031441289465874434,
37,7249,0.002767688361927867,
37,7295,,0.0036019941326230764
38,7299,0.0032679454889148474,
38,7349,0.004501539282500744,
38,7399,0.00236209062859416,
38,7449,0.0037375090178102255,
38,7487,,0.0035633963998407125
39,7499,0.0028835053090006113,
39,7549,0.004367882385849953,
39,7599,0.004095933400094509,
39,7649,0.0012469412758946419,
39,7679,,0.003415836254134774
40,7699,0.0013639875687658787,
40,7749,0.00375573942437768,
40,7799,0.005345079116523266,
40,7849,0.0046113054268062115,
40,7871,,0.003504955442622304
41,7899,0.005849551409482956,
41,7949,0.001720850239507854,
41,7999,0.0048712315037846565,
41,8049,0.003382927505299449,
41,8063,,0.0034490502439439297
42,8099,0.0019462921191006899,
42,8149,0.004625562112778425,
42,8199,0.004793229047209024,
42,8249,0.0025504908990114927,
42,8255,,0.003444964298978448
43,8299,0.002873416058719158,
43,8349,0.0043370164930820465,
43,8399,0.003066109260544181,
43,8447,,0.003515203483402729
44,8449,0.0032026474364101887,
44,8499,0.0037132396828383207,
44,8549,0.0034986156970262527,
44,8599,0.00363155803643167,
44,8639,,0.003556380979716778
45,8649,0.0032375070732086897,
45,8699,0.002795810578390956,
45,8749,0.004620475694537163,
45,8799,0.0028714691288769245,
45,8831,,0.0035241867881268263
46,8849,0.0026447365526109934,
46,8899,0.005123500246554613,
46,8949,0.0025973801966756582,
46,8999,0.0014390111900866032,
46,9023,,0.0034424117766320705
47,9049,0.0025951697025448084,
47,9099,0.005055536981672049,
47,9149,0.0021307284478098154,
47,9199,0.0032381084747612476,
47,9215,,0.003410215489566326
