epoch,step,train_loss,val_loss
0,49,0.00491965701803565,
0,99,0.003007421502843499,
0,149,0.005510081071406603,
0,191,,0.003578774631023407
1,199,0.005670924670994282,
1,249,0.0052173263393342495,
1,299,0.004442973993718624,
1,349,0.005100041627883911,
1,383,,0.0033312260638922453
2,399,0.00380390090867877,
2,449,0.0020236759446561337,
2,499,0.00337415374815464,
2,549,0.0027657998725771904,
2,575,,0.003244290594011545
3,599,0.003674112493172288,
3,649,0.005319340154528618,
3,699,0.0028650714084506035,
3,749,0.0019549811258912086,
3,767,,0.0032461234368383884
4,799,0.0027830915059894323,
4,849,0.0032284308690577745,
4,899,0.005066694226115942,
4,949,0.0035590806510299444,
4,959,,0.003252599388360977
5,999,0.0034637271892279387,
5,1049,0.002073545940220356,
5,1099,0.006191186141222715,
5,1149,0.00523526081815362,
5,1151,,0.003257912117987871
6,1199,0.0026908486615866423,
6,1249,0.002471514046192169,
6,1299,0.002146991668269038,
6,1343,,0.0033357541542500257
7,1349,0.005246926099061966,
7,1399,0.001067293924279511,
7,1449,0.004670039750635624,
7,1499,0.0026483230758458376,
7,1535,,0.0035838864278048277
8,1549,0.004427113104611635,
8,1599,0.0036120854783803225,
8,1649,0.0043419236317276955,
8,1699,0.0016022484051063657,
8,1727,,0.0032377855386584997
9,1749,0.0014989672927185893,
9,1799,0.004477508366107941,
9,1849,0.003095353255048394,
9,1899,0.0038306214846670628,
9,1919,,0.0037495202850550413
10,1949,0.0014955642400309443,
10,1999,0.004772920627146959,
10,2049,0.003548678010702133,
10,2099,0.0026391472201794386,
10,2111,,0.003237820463255048
11,2149,0.002266473835334182,
11,2199,0.005843017250299454,
11,2249,0.003642656607553363,
11,2299,0.002750797662883997,
11,2303,,0.003423173213377595
12,2349,0.010255509056150913,
12,2399,0.0037016316782683134,
12,2449,0.004854442086070776,
12,2495,,0.0034065088257193565
13,2499,0.004931626841425896,
13,2549,0.003532731207087636,
13,2599,0.0033407306764274836,
13,2649,0.0023849550634622574,
13,2687,,0.003380222711712122
14,2699,0.002915025921538472,
14,2749,0.004487200640141964,
14,2799,0.0036850241012871265,
14,2849,0.0033783428370952606,
14,2879,,0.003230377798900008
15,2899,0.0020913209300488234,
15,2949,0.0038578826934099197,
15,2999,0.00445895828306675,
15,3049,0.0031479699537158012,
15,3071,,0.003277500392869115
16,3099,0.0028544182423502207,
16,3149,0.002201069612056017,
16,3199,0.0026643399614840746,
16,3249,0.00537601625546813,
16,3263,,0.0032462121453136206
17,3299,0.002289853058755398,
17,3349,0.0027592089027166367,
17,3399,0.004024130757898092,
17,3449,0.004512181505560875,
17,3455,,0.003326599020510912
18,3499,0.00390103948302567,
18,3549,0.0037664424162358046,
18,3599,0.004646514542400837,
18,3647,,0.0033423923887312412
19,3649,0.0030201307963579893,
19,3699,0.0036162089090794325,
19,3749,0.001113377744331956,
19,3799,0.005265629850327969,
19,3839,,0.0036376959178596735
20,3849,0.003078346373513341,
20,3899,0.0037826604675501585,
20,3949,0.0014923624694347382,
20,3999,0.003630781313404441,
20,4031,,0.003329618601128459
21,4049,0.004277484957128763,
21,4099,0.0076140593737363815,
21,4149,0.00362415867857635,
21,4199,0.004134651739150286,
21,4223,,0.003274985123425722
22,4249,0.0016912228893488646,
22,4299,0.003258940065279603,
22,4349,0.004311020486056805,
22,4399,0.0030517373234033585,
22,4415,,0.0032629205379635096
23,4449,0.005965890362858772,
23,4499,0.0023804958909749985,
23,4549,0.004154480993747711,
23,4599,0.0030490767676383257,
23,4607,,0.0032344067003577948
24,4649,0.002676471136510372,
24,4699,0.00900944322347641,
24,4749,0.002721514320001006,
24,4799,0.003056848654523492,
24,4799,,0.0034989777486771345
25,4849,0.003826126456260681,
25,4899,0.0021855675149708986,
25,4949,0.0031704662833362818,
25,4991,,0.00326042203232646
26,4999,0.0031225052662193775,
26,5049,0.0019209131132811308,
26,5099,0.00632484769448638,
26,5149,0.004003981128334999,
26,5183,,0.0033098936546593904
27,5199,0.004056790377944708,
27,5249,0.0059373630210757256,
27,5299,0.005799344275146723,
27,5349,0.0027382266707718372,
27,5375,,0.003214368363842368
28,5399,0.004119259770959616,
28,5449,0.0016174528282135725,
28,5499,0.0047681392170488834,
28,5549,0.003478958737105131,
28,5567,,0.0032345366198569536
29,5599,0.0022960223723202944,
29,5649,0.005818711593747139,
29,5699,0.0025311450008302927,
29,5749,0.004840270150452852,
29,5759,,0.0032132465858012438
30,5799,0.0018520838348194957,
30,5849,0.004280333872884512,
30,5899,0.002956642769277096,
30,5949,0.002241261303424835,
30,5951,,0.0032199162524193525
31,5999,0.0027838689275085926,
31,6049,0.0024605568032711744,
31,6099,0.002633772324770689,
31,6143,,0.0034288247115910053
32,6149,0.002143673598766327,
32,6199,0.002770168473944068,
32,6249,0.004535560961812735,
32,6299,0.0023300640750676394,
32,6335,,0.003210566472262144
33,6349,0.0028559116180986166,
33,6399,0.004526524804532528,
33,6449,0.0030533913522958755,
33,6499,0.0021246641408652067,
33,6527,,0.003216876881197095
34,6549,0.005248366389423609,
34,6599,0.004022668115794659,
34,6649,0.0033923001028597355,
34,6699,0.0038960494566708803,
34,6719,,0.0032394167501479387
35,6749,0.005951688624918461,
35,6799,0.0032120360992848873,
35,6849,0.0016307937912642956,
35,6899,0.0025207914877682924,
35,6911,,0.0032126193400472403
36,6949,0.0031157948542386293,
36,6999,0.005007948260754347,
36,7049,0.0029986740555614233,
36,7099,0.0018921901937574148,
36,7103,,0.0035818952601403
37,7149,0.003733488731086254,
37,7199,0.004176832269877195,
37,7249,0.0025878085289150476,
37,7295,,0.0033215314615517855
38,7299,0.0047630551271140575,
38,7349,0.0042996457777917385,
38,7399,0.006626682355999947,
38,7449,0.004426135215908289,
38,7487,,0.003257553791627288
39,7499,0.0038222346920520067,
39,7549,0.0039628418162465096,
39,7599,0.0023897404316812754,
39,7649,0.0029866632539778948,
39,7679,,0.003214444499462843
40,7699,0.0040985774248838425,
40,7749,0.003579815151169896,
40,7799,0.0008386214612983167,
40,7849,0.0035471615847200155,
40,7871,,0.003408208955079317
41,7899,0.0032250985968858004,
41,7949,0.0032596460077911615,
41,7999,0.004512138199061155,
41,8049,0.0032134363427758217,
41,8063,,0.003214340889826417
42,8099,0.004425419960170984,
42,8149,0.004404296632856131,
42,8199,0.0012567723169922829,
42,8249,0.0023035581689327955,
42,8255,,0.0032280650921165943
43,8299,0.004703421611338854,
43,8349,0.0037496190052479506,
43,8399,0.0038328825030475855,
43,8447,,0.003319829935207963
44,8449,0.0033975380938500166,
44,8499,0.001714788842946291,
44,8549,0.005480263382196426,
44,8599,0.002992914989590645,
44,8639,,0.00339498114772141
45,8649,0.002712127985432744,
45,8699,0.0026349169202148914,
45,8749,0.003812283743172884,
45,8799,0.0037198630161583424,
45,8831,,0.0032544585410505533
46,8849,0.0046225544065237045,
46,8899,0.001248308690264821,
46,8949,0.0031777534168213606,
46,8999,0.003512405324727297,
46,9023,,0.003275831462815404
47,9049,0.004517766181379557,
47,9099,0.004034011624753475,
47,9149,0.003882903140038252,
47,9199,0.001534707611426711,
47,9215,,0.0032098989468067884
48,9249,0.003663009265437722,
48,9299,0.0023499219678342342,
48,9349,0.003397369757294655,
48,9399,0.003471496282145381,
48,9407,,0.0032553477212786674
49,9449,0.004535342566668987,
49,9499,0.0035727033391594887,
49,9549,0.0029809868428856134,
49,9599,0.0018116760766133666,
49,9599,,0.0032372588757425547
50,9649,0.004419164732098579,
50,9699,0.004105319734662771,
50,9749,0.004251414444297552,
50,9791,,0.003230555448681116
